epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.25781,2.78794,5.02601,3.09363,0,0,0,0,3.91308,5.36178,4.66971,0,0,0
2,4.18098,3.37418,4.69053,3.31479,0,0,0,0,3.89401,5.42283,4.67034,5.72628e-06,5.72628e-06,5.72628e-06
3,5.81674,3.58963,5.11996,3.81796,0,0,0,0,3.89401,5.42283,4.67034,8.62512e-06,8.62512e-06,8.62512e-06
4,7.56862,2.50544,4.29076,2.64276,0,0,0,0,3.81517,5.92113,4.53277,8.69652e-06,8.69652e-06,8.69652e-06
5,9.27794,2.69817,4.28439,3.07336,0,0,0,0,3.81517,5.92113,4.53277,5.94048e-06,5.94048e-06,5.94048e-06
