epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.19004,2.78794,5.02601,3.09363,0,0,0,0,3.91308,5.36178,4.66971,0,0,0
2,2.30418,3.37418,4.69053,3.31479,0,0,0,0,3.894,5.42288,4.67033,5.72628e-06,5.72628e-06,5.72628e-06
3,3.3369,3.58944,5.11941,3.81799,0,0,0,0,3.894,5.42288,4.67033,8.62512e-06,8.62512e-06,8.62512e-06
4,4.39284,2.50542,4.29074,2.64275,0,0,0,0,3.81515,5.92135,4.53273,8.69652e-06,8.69652e-06,8.69652e-06
5,5.48363,2.69739,4.28444,3.0727,0,0,0,0,3.81515,5.92135,4.53273,5.94048e-06,5.94048e-06,5.94048e-06
